Timestamp, FrameID, RTT(us)
1766398790.680877, 25883, 228827
1766398790.698435, 25670, 261598
1766398790.750824, 26238, 282331
1766398790.753394, 26617, 267679
1766398790.815948, 26844, 311385
1766398790.831156, 27014, 311067
1766398790.874685, 27633, 322052
1766398790.899512, 27868, 325219
1766398790.905125, 27268, 372185
1766398790.937144, 28132, 350710
1766398790.984781, 28390, 382876
1766398790.987400, 28694, 352241
1766398790.989702, 28570, 369959
1766398791.025370, 28945, 372207
1766398791.042457, 29234, 372183
1766398791.060553, 29818, 358695
1766398791.076803, 29658, 390244
1766398791.111323, 30134, 393453
1766398791.122760, 30304, 388077
1766398791.146904, 30611, 395721
1766398791.177265, 30943, 409243
1766398791.184827, 30989, 400724
1766398791.210935, 31282, 410812
1766398791.242395, 31590, 425009
1766398791.268235, 31776, 433436
1766398791.278991, 32496, 411416
1766398791.292385, 32085, 441822
1766398791.310579, 32655, 425995
1766398791.318095, 32791, 416683
1766398791.336633, 33216, 417950
1766398791.366618, 33401, 431281
1766398791.405058, 33629, 453748
1766398791.408440, 34012, 441649
1766398791.445947, 34295, 461002
1766398791.448475, 34390, 447533
1766398791.463967, 34744, 446948
1766398791.503885, 34942, 469845
1766398791.511104, 35290, 459391
1766398791.537893, 35497, 468845
1766398791.542931, 36031, 441306
1766398791.542966, 35674, 458780
1766398791.570172, 36240, 451290
1766398791.606700, 36596, 471890
1766398791.614236, 37025, 445109
1766398791.620752, 37158, 435507
1766398791.968890, 38108, 734924
1766398792.081888, 39741, 729347
1766398792.140232, 40653, 737948
1766398792.209940, 41643, 742101
1766398792.212436, 41902, 728492
1766398792.296315, 42599, 762045
1766398792.296386, 43228, 728544
1766398792.301584, 43280, 717733
1766398792.306218, 43542, 705706
1766398792.422426, 44656, 755147
1766398792.436806, 44865, 752070
1766398792.459666, 45837, 709053
1766398792.459713, 45344, 743000
1766398792.482192, 46128, 715135
1766398792.545825, 46793, 745725
1766398792.556682, 46926, 739958
1766398792.591085, 47595, 740358
1766398792.606580, 47755, 739749
1766398792.626449, 47908, 743115
1766398792.643931, 49104, 693474
1766398792.643970, 49790, 642011
1766398792.648765, 49436, 664599
1766398792.653689, 48753, 719825
1766398792.654188, 48472, 736399
1766398792.665066, 49310, 697307
1766398792.674780, 50140, 657526
1766398792.882241, 51861, 747464
1766398792.895164, 52118, 743908
1766398793.043637, 54948, 709037
1766398793.046660, 54337, 745543
1766398793.046688, 54720, 729489
1766398793.046691, 55086, 695628
1766398793.056578, 55467, 688614
1766398793.069014, 55600, 684602
1766398793.170654, 56772, 718630
1766398793.182399, 56953, 714742
1766398793.184857, 57568, 684673
1766398793.190102, 56456, 754590
1766398793.192653, 57847, 675127
1766398793.195203, 58589, 627857
1766398793.197728, 57127, 713285
1766398793.210301, 57859, 676448
1766398793.210335, 58366, 659064
1766398793.360298, 59464, 726355
1766398793.396116, 59789, 745395
1766398793.436397, 60160, 750518
1766398794.232629, 72456, 746797
